,Price,Bedrooms,Bathromms,Area,Realtor,City,Type
0,"Desde $ 212,000,000",2 Habs. ,2 Baños,48 m²,Coninsa Ramón H. S.A.,"Rionegro, Antioquia",Apartamento en venta
1,"$ 850,000,000",3 Habs. ,2 Baños,120 m²,ROYAL PROPIEDAD RAIZ,"Rionegro, Antioquia",Casa en  Venta
2,"$ 768,453,000",3 Habs. ,3 Baños,97 m²,NEXT- ONE INMOBILIARIA,"Rionegro, Antioquia",Apartamento en  Venta
3,"$ 890,000,000",4 Habs. ,4 Baños,170 m²,GUILLERMO DUQUE INMOBILIARIA S.A.S,"Rionegro, Antioquia",Casa en  Venta
4,"$ 270,000,000",3 Habs. ,2 Baños,54 m²,Coffee Realty SAS,"Rionegro, Antioquia",Apartamento en  Venta
5,"$ 6,500,000,000",6 Baños,400 m²,4 Habs. ,CONFORT GESTORES INMOBILIARIOS SAS,"Rionegro, Antioquia",Finca en  Venta
6,"$ 1,790,000,000",5 Baños,350 m²,2 Habs. ,Loperez Propiedad Raiz,"Rionegro, Antioquia",Casa Lote en venta
7,"$ 245,000,000",2 Baños,52 m²,2 Habs. ,Imubli,"Rionegro, Antioquia",Apartamento en venta
8,"$ 450,000,000",2 Baños,86.11 m²,3 Habs. ,Gómez Sierra Propiedades,"Rionegro, Antioquia",Apartamento en venta
9,"$ 1,990,000,000",3 Baños,2508 m²,2 Habs. ,Orienta Inmobiliaria,"Rionegro, Antioquia",Finca en venta
10,"$ 310,000,000",2 Baños,54 m²,2 Habs. ,ILAN INMOBILIARIA,"Rionegro, Antioquia",Apartamento en venta
11,"$ 340,000,000",2 Baños,60.75 m²,2 Habs. ,Loperez Propiedad Raiz,"Rionegro, Antioquia",Apartamento en venta
12,"$ 1,350,000,000",3 Baños,120 m²,3 Habs. ,Tengo Propiedad,"Rionegro, Antioquia",Apartamento en venta
13,"$ 980,000,000",3 Baños,126 m²,3 Habs. ,Coffee Realty SAS,"Rionegro, Antioquia",Apartamento en  Venta
14,"$ 280,000,000",2 Baños,72 m²,6 Habs. ,Orientamos S.A.S.,"Rionegro, Antioquia",Casa en venta
15,"$ 3,200,000,000",5 Baños,400 m²,7 Habs. ,URBAN REALTOR PROPIEDAD RAIZ,"Rionegro, Antioquia",Finca en venta
16,"$ 5,500,000,000",8 Baños,800 m²,2 Habs. ,EDEN INMOBILIARIO,"Rionegro, Antioquia",Casa en venta
17,"$ 495,000,000",2 Baños,7385 m²,8 Baños,BEMSA,"Rionegro, Antioquia",Apartamento en  Venta
18,"$ 5,000,000,000",3200 m²,2 Habs. ,3 Baños,Invertir Inmueble,"Rionegro, Antioquia",Finca en  Venta
19,"$ 565,000,000",82 m²,4 Habs. ,4 Baños,RHBRAIZ,"Rionegro, Antioquia",Apartamento en  Venta
20,"$ 2,850,000,000",382 m²,,,BEMSA,"Rionegro, Antioquia",Casa en  Venta
21,"$ 2,200,000,000",4 Habs. ,5 Baños,278 m²,BEMSA,"Rionegro, Antioquia",Casa en  Venta
22,"$ 1,270,000,000",4 Habs. ,4 Baños,220 m²,BEMSA,"Rionegro, Antioquia",Casa en  Venta
23,"$ 250,000,000",3 Habs. ,2 Baños,56 m²,BEMSA,"Rionegro, Antioquia",Apartamento en  Venta
24,"$ 700,000,000",4 Habs. ,4 Baños,150 m²,Orientamos S.A.S.,"Rionegro, Antioquia",Casa en venta
25,"$ 1,200,000,000",4 Habs. ,5 Baños,203 m²,BEMSA,"Rionegro, Antioquia",Casa en  Venta
26,"$ 680,000,000",4 Habs. ,4 Baños,142 m²,BEMSA,"Rionegro, Antioquia",Casa en  Venta
27,"$ 3,200,000,000",5 Habs. ,7 Baños,450 m²,PADS,"Rionegro, Antioquia",Casa en venta
28,"$ 840,000,000",3 Habs. ,4 Baños,340 m²,Houm,"Rionegro, Antioquia",Casa en venta
29,"$ 4,500,000,000",5 Habs. ,6 Baños,346 m²,BEMSA,"Rionegro, Antioquia",Apartamento en  Venta
30,"$ 289,000,000",3 Habs. ,2 Baños,56 m²,BEMSA,"Rionegro, Antioquia",Apartamento en  Venta
31,"$ 3,300,000,000",3 Habs. ,4 Baños,386 m²,BRIKSS SAS,"Rionegro, Antioquia",Casa en venta
32,"$ 460,000,000",2 Habs. ,2 Baños,67 m²,BEMSA,"Rionegro, Antioquia",Apartamento en  Venta
33,"$ 2,800,000,000",6 Habs. ,4 Baños,5000 m²,Arrendamientos Mabel Ochoa S.A.S,"Rionegro, Antioquia",Finca en venta
34,"$ 260,000,000",4 Habs. ,3 Baños,80 m²,BEMSA,"Rionegro, Antioquia",Casa en  Venta
35,"$ 700,000,000",4 Habs. ,3 Baños,220 m²,BEMSA,"Rionegro, Antioquia",Casa en  Venta
36,"$ 390,000,000",4 Habs. ,2 Baños,125 m²,RichiArbeláez Asesor Inmobiliario,"Rionegro, Antioquia",Casa en  Venta
37,"$ 1,250,000,000",4 Habs. ,4 Baños,230 m²,BEMSA,"Rionegro, Antioquia",Finca en  Venta
